model,lead,fold,evaluation_window,metric,value,ci_lower,ci_upper,std,n_replicates
climatology,1,pooled,winter_only,mae,0.8286977696882422,0.749137751540466,0.9081909332697257,0.041400221126425704,1000
climatology,1,pooled,winter_only,rmse,0.9941703188619865,0.906546121450965,1.0769043522475044,0.04485777105256103,1000
climatology,1,pooled,winter_only,pearson_r,-0.12182912348155554,-0.23348892198946233,-0.025516924885544308,0.054324391027561744,1000
climatology,1,pooled,winter_only,acc,,,,,1000
climatology,1,pooled,winter_only,msss_vs_climatology,0.0,0.0,0.0,0.0,1000
climatology,1,pooled,winter_only,msss_vs_persistence,-0.9622382118828263,-1.5868006443487492,-0.49382631704318575,0.274683272350246,1000
persistence,1,pooled,winter_only,mae,0.5508059027750101,0.4879485554488224,0.6165292659103772,0.03278324673992789,1000
persistence,1,pooled,winter_only,rmse,0.7097165433795117,0.6368983883927706,0.7817098554262611,0.037579116456307904,1000
persistence,1,pooled,winter_only,pearson_r,0.7193301145149908,0.6401484765749572,0.7796366551476382,0.03442479477975989,1000
persistence,1,pooled,winter_only,acc,0.7214609503465781,0.6451740768729517,0.7816504670452542,0.03390581344127705,1000
persistence,1,pooled,winter_only,msss_vs_climatology,0.4903778787181654,0.3305781336073101,0.6134220490845373,0.0707823394971222,1000
persistence,1,pooled,winter_only,msss_vs_persistence,0.0,0.0,0.0,0.0,1000
ar,1,pooled,winter_only,mae,0.5077997135741072,0.46442627550894106,0.5485919146579034,0.0220790361437127,1000
ar,1,pooled,winter_only,rmse,0.6230151109492155,0.5713883125224801,0.6678993007695573,0.02490679224187096,1000
ar,1,pooled,winter_only,pearson_r,0.7659557002150633,0.7040428200450639,0.8189950741204801,0.02968128281659042,1000
ar,1,pooled,winter_only,acc,0.7713130895819225,0.7119592763449066,0.8226465243521317,0.028591815667545376,1000
ar,1,pooled,winter_only,msss_vs_climatology,0.6072867316951319,0.531624732032079,0.6723158578228208,0.03560660822960266,1000
ar,1,pooled,winter_only,msss_vs_persistence,0.22940301861879508,0.0960910273660955,0.3342968113747257,0.05887202823532525,1000
ridge,1,pooled,winter_only,mae,0.4570513555479996,0.4134655708716619,0.5017455935644177,0.02282997306426605,1000
ridge,1,pooled,winter_only,rmse,0.5687180882122869,0.5123550266114344,0.618833703774615,0.027461569698915604,1000
ridge,1,pooled,winter_only,pearson_r,0.806202404337753,0.7440249841541436,0.8520379763009245,0.026840556144445978,1000
ridge,1,pooled,winter_only,acc,0.809533927250756,0.7500492089385096,0.8555975240642817,0.025904339898232556,1000
ridge,1,pooled,winter_only,msss_vs_climatology,0.6727553941957568,0.5790630907144574,0.7422706578573921,0.039942647199472346,1000
ridge,1,pooled,winter_only,msss_vs_persistence,0.35786812985838146,0.19772949288685762,0.48897785332984905,0.07471220047997257,1000
lasso,1,pooled,winter_only,mae,0.4448612707000131,0.40545879930736617,0.48221430141881,0.019953323068425732,1000
lasso,1,pooled,winter_only,rmse,0.5497016516898572,0.5023072433923023,0.591926526762366,0.023502328219311638,1000
lasso,1,pooled,winter_only,pearson_r,0.820377128995103,0.7649521796260952,0.8615042669375569,0.024009944551473816,1000
lasso,1,pooled,winter_only,acc,0.8237357305442308,0.7696250829320357,0.8645266387684252,0.02314443535128458,1000
lasso,1,pooled,winter_only,msss_vs_climatology,0.6942739130815874,0.6170911773148559,0.7524191305478141,0.034493568192155204,1000
lasso,1,pooled,winter_only,msss_vs_persistence,0.4000925898792804,0.2719204241274449,0.5122244209648119,0.062374162576266046,1000
elasticnet,1,pooled,winter_only,mae,0.4530574923858231,0.41420086264423167,0.49016302475976403,0.020134904190038987,1000
elasticnet,1,pooled,winter_only,rmse,0.5588186935569457,0.5119482990378023,0.6007684954334701,0.02320243784625426,1000
elasticnet,1,pooled,winter_only,pearson_r,0.8156231944126705,0.7573745604444699,0.8571287375153266,0.024470560166051605,1000
elasticnet,1,pooled,winter_only,acc,0.819076070932182,0.7633696379299547,0.8602082983687223,0.023587140921564338,1000
elasticnet,1,pooled,winter_only,msss_vs_climatology,0.6840486137225059,0.6073585710495887,0.7454859940593264,0.03497757274013047,1000
elasticnet,1,pooled,winter_only,msss_vs_persistence,0.38002811674895,0.23932004956901273,0.5001751503009276,0.06629981237734653,1000
rf,1,pooled,winter_only,mae,0.4696364461296705,0.42966298523830543,0.5066768676091055,0.01989794062282382,1000
rf,1,pooled,winter_only,rmse,0.5682984008840198,0.524252983176146,0.6081683301854715,0.021746557430723516,1000
rf,1,pooled,winter_only,pearson_r,0.8085742611301013,0.7586185581827245,0.8467772354422055,0.023001880253608286,1000
rf,1,pooled,winter_only,acc,0.8124051470873576,0.7647690426658981,0.8494886627159871,0.022057841789332674,1000
rf,1,pooled,winter_only,msss_vs_climatology,0.673238198389071,0.6034078818723915,0.7310382974099481,0.032999840490286356,1000
rf,1,pooled,winter_only,msss_vs_persistence,0.3588155066953599,0.2233296520672994,0.4625577842600904,0.05922389270226259,1000
xgboost,1,pooled,winter_only,mae,0.45848151846979474,0.41681834757869196,0.501959706023063,0.02216909228177526,1000
xgboost,1,pooled,winter_only,rmse,0.5545588231986746,0.5066697624384103,0.6013628446633772,0.024420556549740784,1000
xgboost,1,pooled,winter_only,pearson_r,0.8167950576168531,0.7672680446982435,0.8543736313782384,0.022532304297191906,1000
xgboost,1,pooled,winter_only,acc,0.8201602047652776,0.7740371878822195,0.8553235821279784,0.021572267003504075,1000
xgboost,1,pooled,winter_only,msss_vs_climatology,0.6888472434842123,0.6098656410169422,0.7499450504582583,0.03598824781478553,1000
xgboost,1,pooled,winter_only,msss_vs_persistence,0.38944417143204846,0.2465376855519403,0.502473815308789,0.06545494923019032,1000
climatology,1,pooled,all_months,mae,0.8277905598206041,0.7741525914131958,0.8833786457039368,0.028446487777159187,1000
climatology,1,pooled,all_months,rmse,0.9970401689578062,0.9346755238600789,1.0584382624191528,0.031428625460121595,1000
climatology,1,pooled,all_months,pearson_r,-0.22403325925209222,-0.3018461100536391,-0.14937464167807585,0.039547880051558064,1000
climatology,1,pooled,all_months,acc,,,,,1000
climatology,1,pooled,all_months,msss_vs_climatology,0.0,0.0,0.0,0.0,1000
climatology,1,pooled,all_months,msss_vs_persistence,-0.5834519398557438,-0.86967779815287,-0.368505911719986,0.1312904267924595,1000
persistence,1,pooled,all_months,mae,0.6083070006521305,0.5632590899281289,0.6554248918678303,0.02329114282601637,1000
persistence,1,pooled,all_months,rmse,0.792337502846109,0.737356885984835,0.8479052771119603,0.028917531006568784,1000
persistence,1,pooled,all_months,pearson_r,0.6558504016889375,0.6025120253034569,0.7005511250929836,0.025332370266914313,1000
persistence,1,pooled,all_months,acc,0.6654066439322542,0.6126991425045244,0.7087143980404907,0.02490981840429979,1000
persistence,1,pooled,all_months,msss_vs_climatology,0.3684683602767872,0.26927602902718023,0.46514847462433584,0.05178997443260642,1000
persistence,1,pooled,all_months,msss_vs_persistence,0.0,0.0,0.0,0.0,1000
ar,1,pooled,all_months,mae,0.5627774788173442,0.5295837124083889,0.5923538510798266,0.016067129083165044,1000
ar,1,pooled,all_months,rmse,0.7081350215798251,0.664424385552793,0.7494344029252005,0.021511122730495994,1000
ar,1,pooled,all_months,pearson_r,0.680057213124668,0.6300438889123529,0.7248328806667562,0.024121712106336693,1000
ar,1,pooled,all_months,acc,0.6951482081039375,0.646489470148453,0.7370817920198972,0.02318386539122443,1000
ar,1,pooled,all_months,msss_vs_climatology,0.4955631144766188,0.4304808920203283,0.5534126513924498,0.031686628547511954,1000
ar,1,pooled,all_months,msss_vs_persistence,0.20124843508321233,0.1503256234892722,0.24155753325991589,0.022500060997709886,1000
ridge,1,pooled,all_months,mae,0.5111457574574129,0.47757663297398667,0.5427167357906643,0.016506220935340207,1000
ridge,1,pooled,all_months,rmse,0.6514771212825896,0.6090418232000873,0.6905955983220298,0.02094274344976492,1000
ridge,1,pooled,all_months,pearson_r,0.7394497134069308,0.6997459490409504,0.7739311157469326,0.018461618785884242,1000
ridge,1,pooled,all_months,acc,0.7509614825901587,0.7124945672312059,0.7831934317989648,0.017511928636315236,1000
ridge,1,pooled,all_months,msss_vs_climatology,0.5730539242523738,0.517577829066053,0.6213909707251367,0.026089200228928966,1000
ridge,1,pooled,all_months,msss_vs_persistence,0.323951408143624,0.2697248582710116,0.375005948996777,0.027167852055759265,1000
lasso,1,pooled,all_months,mae,0.506545412486598,0.473425490519463,0.5358736795533656,0.01567284150225501,1000
lasso,1,pooled,all_months,rmse,0.6448548033576023,0.6026717707457137,0.6833978307714895,0.020585416448209205,1000
lasso,1,pooled,all_months,pearson_r,0.7447628296219129,0.703068421771264,0.780844036719203,0.01941556345843927,1000
lasso,1,pooled,all_months,acc,0.7566228747882131,0.7167636387903621,0.7903994284987279,0.01844967373888164,1000
lasso,1,pooled,all_months,msss_vs_climatology,0.5816896915634717,0.5248367832877995,0.6312143179961996,0.026441179487985494,1000
lasso,1,pooled,all_months,msss_vs_persistence,0.3376257306445247,0.28583394921513056,0.38292837144605624,0.024580395012775227,1000
elasticnet,1,pooled,all_months,mae,0.5122069082733831,0.47895408086646657,0.5412755318931605,0.01568822333723854,1000
elasticnet,1,pooled,all_months,rmse,0.6502349517935317,0.6086081074893799,0.6879896746718325,0.020200052868775,1000
elasticnet,1,pooled,all_months,pearson_r,0.7403090410768638,0.6978951726702011,0.7764702721132838,0.019673067703461968,1000
elasticnet,1,pooled,all_months,acc,0.7523917967523716,0.7111427570533533,0.7867611684213173,0.018633894219511515,1000
elasticnet,1,pooled,all_months,msss_vs_climatology,0.5746804857176672,0.5183914224249083,0.6248843453892577,0.026594884649147867,1000
elasticnet,1,pooled,all_months,msss_vs_persistence,0.3265269900511374,0.27210792447381693,0.3738890096271106,0.02611723206441291,1000
rf,1,pooled,all_months,mae,0.5044764111862828,0.4721838058092382,0.5348563566446901,0.015843169688493308,1000
rf,1,pooled,all_months,rmse,0.6384865662915544,0.592130981216128,0.6847865600345127,0.023738766760640927,1000
rf,1,pooled,all_months,pearson_r,0.7497167159625331,0.7084705340073523,0.7861718359292108,0.02024671678801104,1000
rf,1,pooled,all_months,acc,0.7615070796682292,0.7223459464895502,0.7958268438494929,0.019277294418853282,1000
rf,1,pooled,all_months,msss_vs_climatology,0.5899109084451348,0.5354844818000579,0.6421378646163932,0.02745890457620571,1000
rf,1,pooled,all_months,msss_vs_persistence,0.3506436324637692,0.3014246574376835,0.3999145759056221,0.024882276540534036,1000
xgboost,1,pooled,all_months,mae,0.48388363939188345,0.4541596877649003,0.5118728486894176,0.014744740519832154,1000
xgboost,1,pooled,all_months,rmse,0.6139898911845435,0.5753192738207312,0.6475637907632714,0.018814402287409347,1000
xgboost,1,pooled,all_months,pearson_r,0.7721319102423579,0.7378912086945115,0.8021769628349883,0.01588610644803724,1000
xgboost,1,pooled,all_months,acc,0.7823601322780674,0.7500791183270599,0.8099521409402475,0.01500734928126234,1000
xgboost,1,pooled,all_months,msss_vs_climatology,0.6207748510271351,0.5737105546972532,0.6661288652889932,0.02374985725481417,1000
xgboost,1,pooled,all_months,msss_vs_persistence,0.3995152022168338,0.3407791764808426,0.45113760829411803,0.028766715734631406,1000
climatology,3,pooled,winter_only,mae,0.8347249135604385,0.7462981841007662,0.9202859713985977,0.04415294661257388,1000
climatology,3,pooled,winter_only,rmse,1.0006309820646007,0.9044403899736759,1.090109612007323,0.04621657134468046,1000
climatology,3,pooled,winter_only,pearson_r,-0.10108917128090601,-0.21890656683680512,-0.0036547779218777327,0.05724236096251117,1000
climatology,3,pooled,winter_only,acc,,,,,1000
climatology,3,pooled,winter_only,msss_vs_climatology,0.0,0.0,0.0,0.0,1000
climatology,3,pooled,winter_only,msss_vs_persistence,0.42617240365285947,0.291751922912696,0.5332535939632677,0.06335251603298646,1000
persistence,3,pooled,winter_only,mae,1.0772345022650518,0.9522308434212361,1.1927734194107247,0.05987493627806883,1000
persistence,3,pooled,winter_only,rmse,1.320940422692585,1.1814081111710102,1.4484282848004437,0.06704122303570496,1000
persistence,3,pooled,winter_only,pearson_r,0.018066305349920514,-0.1556316008081695,0.19025380355517535,0.08576398058972091,1000
persistence,3,pooled,winter_only,acc,0.01581821891105698,-0.1549617393816886,0.18732931391130322,0.08585680013031534,1000
persistence,3,pooled,winter_only,msss_vs_climatology,-0.7426837021533621,-1.1424910568316056,-0.4119348346289396,0.1891641225183639,1000
persistence,3,pooled,winter_only,msss_vs_persistence,0.0,0.0,0.0,0.0,1000
ar,3,pooled,winter_only,mae,0.8200283318328989,0.7311022990959253,0.9065965780664533,0.04346359704619328,1000
ar,3,pooled,winter_only,rmse,0.9865016352933901,0.8905725401622032,1.0745375342778982,0.046168870915446775,1000
ar,3,pooled,winter_only,pearson_r,-0.04488102643432433,-0.2135502986568889,0.11679256743301492,0.08332940115897047,1000
ar,3,pooled,winter_only,acc,0.1030892089120913,-0.012213971922659526,0.2246479324575087,0.05957234902933737,1000
ar,3,pooled,winter_only,msss_vs_climatology,0.028041487315520697,0.010728309208242436,0.047158779929637545,0.009479819124207636,1000
ar,3,pooled,winter_only,msss_vs_persistence,0.4422633829171235,0.3200108432178127,0.5412834045685871,0.0582241549746724,1000
ridge,3,pooled,winter_only,mae,0.831589777998957,0.7402824042236469,0.9225535691386924,0.046529995069982004,1000
ridge,3,pooled,winter_only,rmse,0.9998472414796034,0.8962111960903993,1.10235088204565,0.052325809070124456,1000
ridge,3,pooled,winter_only,pearson_r,-0.00035272629349475187,-0.18906976410247275,0.15796227276559188,0.08809450457833663,1000
ridge,3,pooled,winter_only,acc,0.03299211487413894,-0.14666660138393134,0.18605457578604565,0.08661545440189675,1000
ridge,3,pooled,winter_only,msss_vs_climatology,0.0015658792662934795,-0.05366285827972845,0.05644779863628507,0.029411376297154332,1000
ridge,3,pooled,winter_only,msss_vs_persistence,0.42707094838840653,0.28872781356853044,0.5387644488028868,0.06481036918848826,1000
lasso,3,pooled,winter_only,mae,0.8282875271696395,0.7378047646475342,0.9190844144509559,0.04672272840205513,1000
lasso,3,pooled,winter_only,rmse,0.9991184434720514,0.895908658587474,1.0959633549144816,0.051054921314320253,1000
lasso,3,pooled,winter_only,pearson_r,-0.1754448722184642,-0.3598661511012115,0.04857389262975587,0.1058712250755444,1000
lasso,3,pooled,winter_only,acc,-0.025213701561495012,-0.2275232209757127,0.1949755528152161,0.1093257261215601,1000
lasso,3,pooled,winter_only,msss_vs_climatology,0.003020884730653761,-0.03258543740914887,0.031571573422297654,0.01621464966882855,1000
lasso,3,pooled,winter_only,msss_vs_persistence,0.4279058706766923,0.28166524531649767,0.5411968351944402,0.06782790497412136,1000
elasticnet,3,pooled,winter_only,mae,0.8273405852821794,0.7359449638591777,0.915414672922619,0.04575551093682378,1000
elasticnet,3,pooled,winter_only,rmse,0.9971757849824013,0.8963894492190083,1.0951479936924071,0.05046326673864017,1000
elasticnet,3,pooled,winter_only,pearson_r,-0.09751828008206105,-0.2912209646160929,0.09039820946578851,0.10077621458616481,1000
elasticnet,3,pooled,winter_only,acc,0.01360815238972053,-0.1769081462019649,0.1967160340065658,0.0950975433245098,1000
elasticnet,3,pooled,winter_only,msss_vs_climatology,0.006894113243871569,-0.026292989376179566,0.037659558793039206,0.016501874356892314,1000
elasticnet,3,pooled,winter_only,msss_vs_persistence,0.4301284360845352,0.2894005133864007,0.5406891472089561,0.06637543905454042,1000
rf,3,pooled,winter_only,mae,0.8292361376066428,0.7251138813893698,0.9393730915715841,0.056619228603474174,1000
rf,3,pooled,winter_only,rmse,1.0179921400559657,0.894401784577795,1.143444836690199,0.06503991961657228,1000
rf,3,pooled,winter_only,pearson_r,0.02975981813868697,-0.194323638343205,0.21673586414997909,0.10405343851075535,1000
rf,3,pooled,winter_only,acc,0.04272538776883806,-0.18830959838266378,0.2310234240498408,0.1056205754438997,1000
rf,3,pooled,winter_only,msss_vs_climatology,-0.035001450437814885,-0.17577679867034773,0.10732943647740557,0.07100305735238843,1000
rf,3,pooled,winter_only,msss_vs_persistence,0.40608760547946465,0.2393171807315528,0.5276276143755085,0.07483472758040867,1000
xgboost,3,pooled,winter_only,mae,0.849968283039703,0.7440920191775092,0.968024709011685,0.05650220588639556,1000
xgboost,3,pooled,winter_only,rmse,1.042458204274592,0.920778445417118,1.1691644705143311,0.06440343513442091,1000
xgboost,3,pooled,winter_only,pearson_r,-0.032455165187012,-0.21285417421954803,0.1433296519878718,0.09031936514860955,1000
xgboost,3,pooled,winter_only,acc,-0.019711425309029158,-0.2116646499833773,0.1627227979271213,0.09210755917727646,1000
xgboost,3,pooled,winter_only,msss_vs_climatology,-0.08534900402957857,-0.24082060370858138,0.06164641702413269,0.07671187128669647,1000
xgboost,3,pooled,winter_only,msss_vs_persistence,0.377196789819944,0.22250802017750065,0.5048989386453948,0.07408683139845113,1000
